brand,name,common_name,variant,attributes,attributes_unpublished,category_hint,weight_mg,weight_source,source_url,kcal
3FULGEAR,Footbox Bivy,Bivy,,,,shelter,43000,manufacturer,https://www.garagegrowngear.com/products/footbox-bivy-by-3fulgear,
3FULGEAR,Lanshan 1 Pro Tent,Tent,,persons=1,,shelter,688000,manufacturer,https://www.garagegrowngear.com/products/lanshan-1-pro-tent-by-3fulgear,
3FULGEAR,Lanshan 2 Pro Tent,Tent,Silnylon,persons=2,,shelter,900000,manufacturer,https://www.garagegrowngear.com/products/lanshan-2-pro-tent-by-3fulgear,
3FULGEAR,Lanshan 2 Pro Tent,Tent,Silpoly,persons=2,,shelter,877000,manufacturer,https://www.garagegrowngear.com/products/lanshan-2-pro-tent-by-3fulgear,
3FULGEAR,Tyvek Bivy,Bivy,Mummy,,,shelter,200000,manufacturer,https://www.garagegrowngear.com/products/tyvek-bivy-by-3fulgear,
3FULGEAR,Tyvek Bivy,Bivy,Quilt,,,shelter,135000,manufacturer,https://www.garagegrowngear.com/products/tyvek-bivy-by-3fulgear,
ANDA Ultralight,Brisa Bivy,Bivy,Regular,length=Regular,,shelter,182000,manufacturer,https://www.garagegrowngear.com/products/brisa-bivy-by-anda-ultralight,
ANDA Ultralight,Brisa Bivy,Bivy,Tall,length=Tall,,shelter,193000,manufacturer,https://www.garagegrowngear.com/products/brisa-bivy-by-anda-ultralight,
ANDA Ultralight,Uno Tarp,Tarp,,,,shelter,278000,manufacturer,https://www.garagegrowngear.com/products/uno-tarp-by-anda-ultralight,
Big Agnes,Copper Spur HV UL1,Tent,,persons=1,,shelter,1080000,manufacturer,https://www.absolute-snow.com/big-agnes-copper-spur-hv-ul1-ultralight-backpacking-tent,
Big Agnes,Copper Spur HV UL2,Tent,,persons=2,,shelter,1420000,manufacturer,https://www.absolute-snow.com/big-agnes-copper-spur-hv-ul2-ultralight-backpacking-tent,
Big Agnes,Copper Spur HV UL2 mtnGLO,Tent,,persons=2,,shelter,1445826,manufacturer,https://www.bigagnes.com/products/copper-spur-ul2-mtnglo,
Big Agnes,Copper Spur HV UL3,Tent,,persons=3,,shelter,1760000,manufacturer,https://www.absolute-snow.com/big-agnes-copper-spur-hv-ul3-ultralight-backpacking-tent,
Big Agnes,Copper Spur HV UL4,Tent,,persons=4,,shelter,2381000,manufacturer,https://www.garagegrowngear.com/products/copper-spur-hv-ul2-ul4-by-big-agnes,
Big Agnes,Fly Creek HV UL1,Tent,,persons=1,,shelter,907000,manufacturer,https://www.outdoorline.eu/products/big-agnes-fly-creek-hv-ul1-ultralight-tent,
Big Agnes,Fly Creek HV UL2,Tent,,persons=2,,shelter,1020000,manufacturer,https://www.outdoorline.eu/products/big-agnes-fly-creek-hv-ul2-ultralight-tent,
Big Agnes,Sarvis VST 2,Tent,2P,persons=2,,shelter,1133981,measured,https://www.adventurealan.com/best-new-ultralight-gear/,
Big Agnes,String Ridge VST,Tent,1.5P,persons=1.5,,shelter,539000,manufacturer,https://www.garagegrowngear.com/products/string-ridge-vst-by-big-agnes,
Big Agnes,String Ridge VST,Tent,2.5p,persons=2.5,,shelter,853000,manufacturer,https://www.garagegrowngear.com/products/string-ridge-vst-by-big-agnes,
Big Agnes,String Ridge VST 1.5,Tent,"1.5P, trail weight",persons=1.5,,shelter,547146,measured,https://www.treelinereview.com/gearreviews/big-agnes-string-ridge-vst-1-5-tent-review,
Big Agnes,Tiger Wall UL Solution Dye,Tent,UL1,persons=1,,shelter,850000,manufacturer,https://www.garagegrowngear.com/products/tiger-wall-ul1-ul3-solution-dye-by-big-agnes,
Big Agnes,Tiger Wall UL Solution Dye,Tent,UL2,persons=2,,shelter,992000,manufacturer,https://www.garagegrowngear.com/products/tiger-wall-ul1-ul3-solution-dye-by-big-agnes,
